work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_location,company_size
2023,Executive-level / Director,Full-Time,Data Engineer,100000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,105000,100,PT,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,95000,100,PT,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,289800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,214200,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,167500,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,106500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,220000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,146000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,128000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,81500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,206000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,134000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,370000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,200000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,175000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,160000,100,US,M
2023,Entry-level / Junior,Full-Time,Data Integration Specialist,240000,100,US,M
2023,Entry-level / Junior,Full-Time,Data Integration Specialist,100000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,180000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,143000,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,127000,0,CA,M
2023,Mid-level / Intermediate,Full-Time,Applied Scientist,249300,0,US,L
2023,Mid-level / Intermediate,Full-Time,Applied Scientist,149300,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,222200,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,190000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,160000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,248100,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,145900,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Science Practitioner,170200,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Science Practitioner,83900,0,US,M
2023,Mid-level / Intermediate,Full-Time,Analytics Engineer,100000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Analytics Engineer,75000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,166000,0,GB,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,90000,0,GB,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,94100,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,226600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,140100,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,247600,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,127300,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,222200,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,260000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,222200,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,156000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,124000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,200000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,132600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Engineer,308000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Engineer,190400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,155000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,136000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,160000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,75000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,214500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,132600,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,111000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,104000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,260000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
2023,Mid-level / Intermediate,Full-Time,Data Engineer,85000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,75000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,180250,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,118000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,212800,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,111600,0,US,L
